,Date,PETR4
2019,2019-02-20,27.040000915527344
2020,2019-02-21,27.399999618530273
2021,2019-02-22,27.1299991607666
2022,2019-02-25,26.700000762939453
2023,2019-02-26,26.579999923706055
2024,2019-02-27,27.079999923706055
2025,2019-02-28,27.059999465942383
2026,2019-03-01,26.700000762939453
2027,2019-03-06,26.760000228881836
2028,2019-03-07,26.770000457763672
2029,2019-03-08,26.670000076293945
2030,2019-03-11,27.75
2031,2019-03-12,27.5
2032,2019-03-13,28.100000381469727
2033,2019-03-14,28.190000534057617
2034,2019-03-15,28.25
2035,2019-03-18,28.739999771118164
2036,2019-03-19,29.200000762939453
2037,2019-03-20,28.969999313354492
2038,2019-03-21,28.559999465942383
2039,2019-03-22,27.0
2040,2019-03-25,27.34000015258789
2041,2019-03-26,28.6299991607666
2042,2019-03-27,27.34000015258789
2043,2019-03-28,28.059999465942383
2044,2019-03-29,28.059999465942383
2045,2019-04-01,28.0
2046,2019-04-02,28.290000915527344
2047,2019-04-03,27.540000915527344
2048,2019-04-04,28.469999313354492
2049,2019-04-05,28.780000686645508
2050,2019-04-08,29.25
2051,2019-04-09,29.15999984741211
2052,2019-04-10,28.780000686645508
2053,2019-04-11,28.0
2054,2019-04-12,25.829999923706055
2055,2019-04-15,25.93000030517578
2056,2019-04-16,26.719999313354492
2057,2019-04-17,26.75
2058,2019-04-18,27.600000381469727
2059,2019-04-22,27.440000534057617
2060,2019-04-23,27.68000030517578
2061,2019-04-24,27.600000381469727
2062,2019-04-25,27.799999237060547
2063,2019-04-26,27.25
2064,2019-04-29,27.3700008392334
2065,2019-04-30,27.110000610351562
2066,2019-05-02,26.729999542236328
2067,2019-05-03,26.850000381469727
2068,2019-05-06,26.770000457763672
2069,2019-05-07,26.350000381469727
2070,2019-05-08,27.3700008392334
2071,2019-05-09,26.829999923706055
2072,2019-05-10,26.68000030517578
2073,2019-05-13,25.899999618530273
2074,2019-05-14,26.0
2075,2019-05-15,25.8799991607666
2076,2019-05-16,25.270000457763672
2077,2019-05-17,24.68000030517578
2078,2019-05-20,25.520000457763672
2079,2019-05-21,26.489999771118164
2080,2019-05-22,26.290000915527344
2081,2019-05-23,25.84000015258789
2082,2019-05-24,26.09000015258789
